_timestamp,loss,difficulty,reward_component/docking,_step,_runtime,samples/episode_outcomes,action_type/ADD_FRAGMENT,verifier/lipinski_pass_rate,reward_std,verifier/truncation_rate,episode/diversity_unique_pct,kl,min_reward,reward_component/sa,parse_rate,policy_loss,mean_reward,max_reward,step,episode/mean_length,verifier/invalid_action_rate,invalid_action_rate,verifier/parse_rate,reward_component/qed,grad_norm,n_transitions,reward_component/toxicity_clean
1777190506.4894106,0.013671013720644018,easy,0.017017466689300237,110,2894.221531653,,120.0,0.25,0.3493377813136639,1.0,1.0,0.3417753844832381,0.2893165271214293,0.9325320275263053,0.0,-3.073364496231079e-09,0.9695345591367235,1.4351442487241153,105,15.0,0.25,0.25,0.0,0.3656174020693044,0.37109375,120.0,1.0
1777190572.5988476,0.012289355439133943,easy,0.021910540376557448,111,2960.330761166,,120.0,0.0,0.19518323324793477,1.0,0.75,0.30723363378395635,0.8573174822706837,0.9006115271589353,0.0,1.3969838619232178e-08,1.2176037289513344,1.4351442487241153,106,15.0,0.0,0.0,0.0,0.34134707445220197,0.345703125,120.0,1.0
1777190634.354064,0.014278129115700722,easy,0.01715406821937677,112,3022.086039497,,120.0,0.375,0.3447034395760305,1.0,0.75,0.35695377259204786,0.31940729915381105,0.888111650921697,0.0,-2.1855036417643228e-08,0.7974565311745794,1.2529605263713293,107,15.0,0.375,0.375,0.0,0.36205957776731573,0.3984375,120.0,1.0
1777190691.647406,0.016484716534614564,easy,0.014407221074206984,113,3079.379402283,,120.0,0.5,0.39565141111628616,1.0,0.625,0.4121170467386643,0.31940729915381105,0.8813212100803087,0.0,3.725290298461914e-08,0.7632179505049929,1.1677047562192988,108,15.0,0.5,0.5,0.0,0.4000197340289035,0.396484375,120.0,1.0
1777190753.4527922,0.013492188105980555,easy,0.020664211616191176,114,3141.184757574,,120.0,0.125,0.2142100626937309,1.0,0.625,0.33730496813853583,0.5356872260758478,0.9132376876308181,0.0,-7.698933283487957e-09,0.9597872528673914,1.2529605263713293,109,15.0,0.125,0.125,0.0,0.3218667980576726,0.3671875,120.0,1.0
1777190815.0264945,0.013790225485960643,easy,0.018522797626286273,115,3202.758474143,,120.0,0.25,0.3920565837584965,1.0,0.625,0.34475571357955537,0.31940729915381105,0.8790862880294235,0.0,-4.967053731282552e-09,0.9770159572936576,1.4351442487241153,110,15.0,0.25,0.25,0.0,0.36340034714564623,0.34375,120.0,1.0
1777190874.109978,0.013822346832603217,easy,0.02087484158005425,116,3261.842006872,,120.0,0.125,0.24583571034132365,1.0,0.875,0.3455591073880593,0.5356872260758478,0.9160235160248961,0.0,-1.726051171620687e-08,1.0880258120586896,1.4351442487241153,111,15.0,0.125,0.125,0.0,0.34921384089496676,0.380859375,120.0,1.0
1777190935.021426,0.01457397813598315,easy,0.019864551866790127,117,3322.753462312,,120.0,0.25,0.37163683946710113,1.0,0.875,0.3643496541927258,0.31940729915381105,0.8841429061512515,0.0,-4.221995671590169e-09,0.9582849906845807,1.2529605263713293,112,15.0,0.25,0.25,0.0,0.3580134377241201,0.306640625,120.0,1.0
1777190999.721779,0.013482599457105001,easy,0.024250442304962823,118,3387.453809785,,120.0,0.0,0.08028517936059898,1.0,0.5,0.3370657224208117,0.9767819395174563,0.9164872312557408,0.0,-2.9305617014567056e-08,1.106455640789289,1.1677047562192988,113,15.0,0.0,0.0,0.0,0.31230622552248977,0.310546875,120.0,1.0
1777191064.69298,0.013021899076799551,easy,0.022038579294415373,119,3452.425145855,,120.0,0.0,0.07783560568529142,1.0,0.75,0.3255475671341022,0.9767819395174563,0.9108183719214168,0.0,-2.483526865641276e-09,1.113765624717616,1.2529605263713293,114,15.0,0.0,0.0,0.0,0.31964639798209576,0.255859375,120.0,1.0
1777191119.8467414,0.014998635649681092,easy,0.018268179805493716,120,3507.578767174,,120.0,0.25,0.33016813325980093,1.0,0.75,0.3749656053259969,0.2893165271214293,0.9330227487928333,0.0,1.1920928955078126e-08,0.9667641454206991,1.2529605263713293,115,15.0,0.25,0.25,0.0,0.36217564595106216,0.447265625,120.0,1.0
1777191179.4685948,0.013586180408795674,easy,0.017854569313747386,121,3567.200559436,,120.0,0.25,0.3043463349060335,1.0,0.875,0.3396534601226449,0.2893165271214293,0.9263554491721083,0.0,3.712872664133708e-08,0.9196573405170475,1.1677047562192988,116,15.0,0.25,0.25,0.0,0.36109188418795735,0.84765625,120.0,1.0
1777191241.6229064,0.014079487323760987,easy,0.019815256697162133,122,3629.354898402,,120.0,0.25,0.357467244168337,1.0,0.875,0.3519872232650717,0.2893165271214293,0.9116139224300777,0.0,-3.104408582051595e-09,0.9104594312734842,1.2529605263713293,117,15.0,0.25,0.25,0.0,0.3439509691928071,0.3515625,120.0,1.0
1777191299.8985603,0.013510273148616156,easy,0.015208425993755959,123,3687.630578401,,120.0,0.375,0.401950672104336,1.0,0.875,0.337756720247368,0.2893165271214293,0.9078851990809197,0.0,7.450580596923829e-10,0.8746693189783422,1.4351442487241153,118,15.0,0.375,0.375,0.0,0.3900512050773181,0.75390625,120.0,1.0
1777191362.2764452,0.012255907555421193,easy,0.019523388004689536,124,3750.008427587,,120.0,0.125,0.20338410436385287,1.0,0.875,0.3063980830833316,0.5356872260758478,0.9183456415800313,0.0,-1.4776984850565593e-08,1.0594626645471747,1.2209817981270872,119,15.0,0.125,0.125,0.0,0.34952332990956264,0.421875,120.0,1.0
1777191433.7340815,0.010719791799783707,easy,0.02411595290698778,125,3821.466150367,,120.0,0.0,0.113868043219514,1.0,0.625,0.26799467907597624,0.8573174822706837,0.9146857274170589,0.0,5.712111790974935e-09,1.0302454816590765,1.1625584003701666,120,15.0,0.0,0.0,0.0,0.2826421258115393,0.21875,120.0,1.0
1777191500.2497053,0.01256456399957339,easy,0.019358471913065726,126,3887.98185607,,120.0,0.25,0.3365043642779547,1.0,0.75,0.3141137403125564,0.31940729915381105,0.8844817102670901,0.0,1.3907750447591146e-08,0.8814781732051533,1.1677047562192988,121,15.0,0.25,0.25,0.0,0.33838362056077687,0.2734375,120.0,1.0
1777191563.0790865,0.012841015309095382,easy,0.019089902913040434,127,3950.811027147,,120.0,0.25,0.36840229248462625,1.0,0.75,0.32102531983206667,0.31940729915381105,0.8784022761580229,0.0,4.470348358154297e-09,0.9216560340687413,1.2529605263713293,122,15.0,0.25,0.25,0.0,0.3532058186098831,0.36328125,120.0,1.0
1777191627.1972115,0.012412572279572487,easy,0.022680058330095697,128,4014.929195789,,120.0,0.0,0.12127775039971492,1.0,0.875,0.31031486596912145,0.8573174822706837,0.9156667275878348,0.0,-2.222756544748942e-08,1.0925058356178632,1.2529605263713293,123,15.0,0.0,0.0,0.0,0.30431494119313574,0.345703125,120.0,1.0
1777191691.6355133,0.012659063066045443,easy,0.019717811986319472,129,4079.367500191,,120.0,0.125,0.23104779756250926,1.0,0.875,0.31647656187415124,0.5356872260758478,0.916533212253781,0.0,3.4148494402567544e-09,1.048828388203228,1.4351442487241153,124,15.0,0.125,0.125,0.0,0.3436824278401024,0.7421875,120.0,1.0
1777191752.1238585,0.013590948035319647,easy,0.019654368892399802,130,4139.855834417,,120.0,0.125,0.3236048258596576,1.0,0.625,0.33977364835639795,0.31940729915381105,0.886747134270674,0.0,3.073364496231079e-09,1.0583630522904068,1.4351442487241153,125,15.0,0.125,0.125,0.0,0.35252105974067305,0.376953125,120.0,1.0
1777191753.4096236,,,,131,4141.141002693,"{'artifact_path': 'wandb-client-artifact://wmtnv9v933k4sd09q056jqyqpg8rhs1niouc3eft1hgqr3jwphi3vpt8spr3xdgktm0q5mryc4rgc2gzw3l48fyrqfrcutcpcxhrhx0tw6ksh709vkue5zk1toers5bc/samples/episode_outcomes.table.json', '_latest_artifact_path': 'wandb-client-artifact://lki7sg3sycsd5872k58joz4z6q9sdxc38kuhxcvy8d2hrnaeetplczshsnl3bs3r6bmz3p4j4nfbnv0gacchumbu6wziuks16suvq103u2dzoizohlhc3o12lh6mgpw7:latest/samples/episode_outcomes.table.json', 'ncols': 8, 'nrows': 8, 'path': 'media/table/samples/episode_outcomes_131_86383f38ea7b5795acf7.table.json', '_type': 'table-file', 'sha256': '86383f38ea7b5795acf7a20a10c89c1ffd79e1eeeabcd98c75f9cf71bbd7b7dc', 'log_mode': 'IMMUTABLE', 'size': 916}",,,,,,,,,,,,,125,,,,,,,,
1777191820.5675733,0.012935944274067879,easy,0.018605260706321652,132,4208.299576465,,120.0,0.125,0.3330338313818286,1.0,0.5,0.3233983378857374,0.2893165271214293,0.9161054210633942,0.0,9.840975205103556e-09,1.1000418635875233,1.4351442487241153,126,15.0,0.125,0.125,0.0,0.354100564803951,0.498046875,120.0,1.0
1777191879.6081705,0.013896875983724992,easy,0.01944684603682838,133,4267.340140705,,120.0,0.125,0.3207467574188324,1.0,0.75,0.3474218877963722,0.2893165271214293,0.9167981151227347,0.0,4.967053731282552e-10,1.0917109309653505,1.4351442487241153,127,15.0,0.125,0.125,0.0,0.35167194331161045,0.44921875,120.0,1.0
