_runtime,_timestamp,_wandb,system.cpu,system.disk./.usageGB,system.disk./.usagePercent,system.disk.md127.in,system.disk.md127.out,system.gpu.0.correctedMemoryErrors,system.gpu.0.enforcedPowerLimitWatts,system.gpu.0.gpu,system.gpu.0.memory,system.gpu.0.memoryAllocated,system.gpu.0.memoryAllocatedBytes,system.gpu.0.memoryClock,system.gpu.0.powerPercent,system.gpu.0.powerWatts,system.gpu.0.smClock,system.gpu.0.temp,system.gpu.0.uncorrectedMemoryErrors,system.memory_percent,system.network.recv,system.network.sent,system.proc.cpu.threads,system.proc.memory.availableMB,system.proc.memory.percent,system.proc.memory.rssMB
7020.474158689,1777194632.2720566,True,1.0362499423112996,890.8391036987305,3.146817797392329,1.078125,19922.4794921875,,,,,,,,,,,,,2.9498743410212476,54956679.0,38474998.0,280.0,1987549.0234375,0.11239111563491891,2301.7265625
7035.472943283,1777194647.2708414,True,,,,,,0.0,700.0,39.0,5.0,2.554670274255587,3851288576.0,3201.0,23.494857142857143,164.464,1980.0,46.0,0.0,,,,,,,
7035.474242035,1777194647.27214,True,1.0362290438053676,890.8765296936035,3.146950001722227,1.078125,19939.95556640625,,,,,,,,,,,,,2.954840217003535,55028847.0,38541678.0,280.0,1987447.32421875,0.11419950703834003,2338.76171875
7050.472736649,1777194662.2706347,True,,,,,,0.0,700.0,32.0,4.0,2.554670274255587,3851288576.0,3201.0,23.164857142857144,162.154,1980.0,46.0,0.0,,,,,,,
7050.47424057,1777194662.2721386,True,1.0362214487126329,890.8765106201172,3.1469499343466643,1.078125,19962.65478515625,,,,,,,,,,,,,2.9534125395797814,55148267.0,38664613.0,280.0,1987476.5625,0.11419950703834003,2338.76171875
7065.472901217,1777194677.2707992,True,,,,,,0.0,700.0,19.0,2.0,2.554670274255587,3851288576.0,3201.0,23.34,163.38,1980.0,46.0,0.0,,,,,,,
7065.474725181,1777194677.272623,True,1.0362182331883067,890.860969543457,3.1468950367378574,1.078125,19963.49853515625,,,,,,,,,,,,,2.9523484096736867,55234834.0,38751969.0,280.0,1987498.35546875,0.11179601161860481,2289.5390625
7080.472448503,1777194692.2703464,True,,,,,,0.0,700.0,34.0,4.0,2.554670274255587,3851288576.0,3201.0,23.63457142857143,165.442,1980.0,46.0,0.0,,,,,,,
7080.473979837,1777194692.2718778,True,1.0360251327550256,890.8688507080078,3.1469228763205264,1.078125,19964.29541015625,,,,,,,,,,,,,2.9532986687151217,55308727.0,38821583.0,280.0,1987478.89453125,0.11179620235707158,2289.54296875
7095.472250801,1777194707.2701488,True,,,,,,0.0,700.0,39.0,5.0,2.554670274255587,3851288576.0,3201.0,23.563714285714283,164.946,1980.0,46.0,0.0,,,,,,,
7095.473723638,1777194707.2716217,True,1.0360238921280358,890.8695030212402,3.1469251805647844,1.078125,19965.3408203125,,,,,,,,,,,,,2.953091717478679,55401399.0,38918269.0,280.0,1987483.1328125,0.11179620235707158,2289.54296875
7110.472450533,1777194722.2703485,True,,,,,,0.0,700.0,40.0,5.0,2.554670274255587,3851288576.0,3201.0,23.072714285714284,161.509,1980.0,46.0,0.0,,,,,,,
7110.473725984,1777194722.271624,True,1.0360182559990962,890.8695030212402,3.1469251805647844,1.078125,19966.0712890625,,,,,,,,,,,,,2.9511631608411943,55518512.0,39036182.0,280.0,1987522.62890625,0.11179620235707158,2289.54296875
7125.47280521,1777194737.2707033,True,,,,,,0.0,700.0,21.0,3.0,2.554670274255587,3851288576.0,3201.0,23.220714285714283,162.545,1980.0,46.0,0.0,,,,,,,
7125.473903114,1777194737.271801,True,1.0360242311444188,890.8704795837402,3.146928630193615,1.078125,19967.1259765625,,,,,,,,,,,,,2.9508793420026445,55532122.0,39050521.0,280.0,1987528.44140625,0.11179620235707158,2289.54296875
7140.472399756,1777194752.2702978,True,,,,,,0.0,700.0,40.0,5.0,2.554670274255587,3851288576.0,3201.0,23.334142857142854,163.339,1980.0,46.0,0.0,,,,,,,
7140.473795754,1777194752.2716937,True,1.036020096132625,890.8704795837402,3.146928630193615,1.078125,19967.8798828125,,,,,,,,,,,,,2.951158583117992,55650050.0,39169218.0,280.0,1987522.72265625,0.11179620235707158,2289.54296875
7155.472496986,1777194767.270395,True,,,,,,0.0,700.0,40.0,5.0,2.554670274255587,3851288576.0,3201.0,22.96785714285714,160.775,1980.0,46.0,0.0,,,,,,,
