_runtime,_timestamp,_wandb,system.gpu.0.correctedMemoryErrors,system.gpu.0.enforcedPowerLimitWatts,system.gpu.0.fanSpeed,system.gpu.0.gpu,system.gpu.0.memory,system.gpu.0.memoryAllocated,system.gpu.0.memoryAllocatedBytes,system.gpu.0.memoryClock,system.gpu.0.powerPercent,system.gpu.0.powerWatts,system.gpu.0.smClock,system.gpu.0.temp,system.gpu.0.uncorrectedMemoryErrors,system.cpu,system.disk./.usageGB,system.disk./.usagePercent,system.disk.md127.in,system.disk.md127.out,system.memory_percent,system.network.recv,system.network.sent,system.proc.cpu.threads,system.proc.memory.availableMB,system.proc.memory.percent,system.proc.memory.rssMB
660.4425618,1777179783.9197018,True,0.0,300.0,0.0,60.0,40.0,30.040874153204793,7253852160.0,6251.0,65.31066666666666,195.932,1710.0,55.0,0.0,,,,,,,,,,,,
660.443063091,1777179783.9202032,True,,,,,,,,,,,,,,4.303264440694041,105.24814224243164,2.9754888815839293,0.0,10864.41796875,8.296460312612053,4199909.0,1390322.0,64.0,175308.23828125,1.336041486970629,2554.08984375
675.442473929,1777179798.9196138,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,49.525333333333336,148.576,1710.0,52.0,0.0,,,,,,,,,,,,
675.442882548,1777179798.9200225,True,,,,,,,,,,,,,,4.299890697988592,105.24818420410156,2.9754900678897362,0.0,10864.44921875,8.314174156447915,4252033.0,1407754.0,64.0,175274.375,1.336045573680477,2554.09765625
690.44208646,1777179813.9192264,True,0.0,300.0,0.0,64.0,44.0,30.040874153204793,7253852160.0,6251.0,49.596999999999994,148.791,1710.0,51.0,0.0,,,,,,,,,,,,
690.442746075,1777179813.919886,True,,,,,,,,,,,,,,4.295905877902473,105.24420166015625,2.9753774766840655,0.0,10864.62890625,8.289404608059597,4371881.0,1448228.0,64.0,175321.7265625,1.336047617035401,2554.1015625
705.44246088,1777179828.919601,True,0.0,300.0,0.0,59.0,46.0,30.040874153204793,7253852160.0,6251.0,47.551,142.653,1710.0,51.0,0.0,,,,,,,,,,,,
705.442922891,1777179828.9200628,True,,,,,,,,,,,,,,4.292081322347164,105.24420166015625,2.9753774766840655,0.0,10864.64453125,8.290146345896996,4485924.0,1483978.0,64.0,175320.30859375,1.336047617035401,2554.1015625
720.442374848,1777179843.919515,True,0.0,300.0,0.0,61.0,48.0,30.040874153204793,7253852160.0,6251.0,51.20566666666666,153.617,1710.0,50.0,0.0,,,,,,,,,,,,
720.442945061,1777179843.920085,True,,,,,,,,,,,,,,4.288244283171499,105.24418258666992,2.9753769374541528,0.0,10864.91015625,8.300205782187684,4607230.0,1521894.0,64.0,175301.078125,1.336049660390325,2554.10546875
735.442907879,1777179858.9200478,True,0.0,300.0,0.0,60.0,47.0,30.040874153204793,7253852160.0,6251.0,50.099,150.297,1710.0,50.0,0.0,,,,,,,,,,,,
735.443270157,1777179858.9204102,True,,,,,,,,,,,,,,4.284610071655806,105.32292556762695,2.9776030942237495,0.0,10867.73828125,8.350885071011897,4728155.0,1559465.0,64.0,175204.1953125,1.336049660390325,2554.10546875
750.442636209,1777179873.9197762,True,0.0,300.0,0.0,71.0,41.0,30.040874153204793,7253852160.0,6251.0,63.69866666666667,191.096,1710.0,53.0,0.0,,,,,,,,,,,,
750.44313109,1777179873.9202712,True,,,,,,,,,,,,,,4.281758561157628,105.49023818969727,2.982333219013716,0.52734375,11012.20947265625,8.409993198897471,4788974.0,1579434.0,64.0,175091.19921875,1.3360680505846405,2554.140625
765.441718012,1777179888.918858,True,0.0,300.0,0.0,58.0,45.0,30.040874153204793,7253852160.0,6251.0,50.29533333333334,150.886,1710.0,52.0,0.0,,,,,,,,,,,,
765.442309705,1777179888.9194498,True,,,,,,,,,,,,,,4.279384319285944,106.56571197509766,3.012738128997996,0.53515625,11224.57275390625,8.445263548240055,4809122.0,1586674.0,64.0,175023.7734375,1.3360680505846405,2554.140625
780.442088734,1777179903.9192288,True,0.0,300.0,0.0,60.0,46.0,30.040874153204793,7253852160.0,6251.0,50.72833333333333,152.185,1710.0,51.0,0.0,,,,,,,,,,,,
780.442700438,1777179903.9198403,True,,,,,,,,,,,,,,4.276269480464257,106.59841537475586,3.0136626926054833,0.53515625,11790.71728515625,8.310440947001831,4921597.0,1625199.0,64.0,175281.51171875,1.3360680505846405,2554.140625
795.442424894,1777179918.919565,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,48.739666666666665,146.219,1710.0,51.0,0.0,,,,,,,,,,,,
795.442970046,1777179918.92011,True,,,,,,,,,,,,,,4.273167701978227,106.40316390991211,3.008142703840101,0.53515625,12211.23291015625,8.32300144971945,5041084.0,1662664.0,64.0,175257.5,1.3360680505846405,2554.140625
810.442745443,1777179933.9198854,True,0.0,300.0,0.0,58.0,45.0,30.040874153204793,7253852160.0,6251.0,49.59133333333333,148.774,1710.0,50.0,0.0,,,,,,,,,,,,
810.443296585,1777179933.9204366,True,,,,,,,,,,,,,,4.270324770569399,106.40314483642578,3.008142164610189,0.53515625,12227.3310546875,8.332605217862094,5148323.0,1696395.0,64.0,175239.140625,1.3360680505846405,2554.140625
825.442043039,1777179948.919183,True,0.0,300.0,0.0,57.0,44.0,30.040874153204793,7253852160.0,6251.0,49.34366666666667,148.031,1710.0,50.0,0.0,,,,,,,,,,,,
825.442595172,1777179948.9197352,True,,,,,,,,,,,,,,4.267294491393666,106.40316390991211,3.008142703840101,0.53515625,12227.4443359375,8.329897772587838,5268552.0,1733991.0,64.0,175244.31640625,1.3360680505846405,2554.140625
840.442114523,1777179963.9192545,True,0.0,300.0,0.0,69.0,41.0,30.040874153204793,7253852160.0,6251.0,64.98700000000001,194.961,1710.0,53.0,0.0,,,,,,,,,,,,
840.442553743,1777179963.9196937,True,,,,,,,,,,,,,,4.264604630734383,105.24777603149414,2.975478528369615,0.53515625,12234.2880859375,8.290969817931355,5376450.0,1768003.0,64.0,175318.734375,1.3360925708437281,2554.1875
855.44213913,1777179978.919279,True,0.0,300.0,0.0,66.0,40.0,30.040874153204793,7253852160.0,6251.0,67.209,201.627,1710.0,55.0,0.0,,,,,,,,,,,,
